,precision,recall,f1-score,support
airplane,0.3392330383480826,0.575,0.4267161410018553,200.0
automobile,0.33134328358208953,0.555,0.41495327102803736,200.0
bird,0.24358974358974358,0.285,0.2626728110599078,200.0
cat,0.19402985074626866,0.195,0.19451371571072318,200.0
deer,0.2903225806451613,0.045,0.07792207792207792,200.0
dog,0.23963133640552994,0.26,0.24940047961630696,200.0
frog,0.379746835443038,0.45,0.41189931350114417,200.0
horse,0.29310344827586204,0.085,0.13178294573643412,200.0
ship,0.4318181818181818,0.19,0.2638888888888889,200.0
truck,0.3769230769230769,0.49,0.4260869565217391,200.0
accuracy,0.313,0.313,0.313,0.313
macro avg,0.3119741375777034,0.313,0.28598366009871146,2000.0
weighted avg,0.3119741375777034,0.313,0.28598366009871146,2000.0
