,precision,recall,f1-score,support
airplane,0.45320197044334976,0.46,0.456575682382134,200.0
automobile,0.45901639344262296,0.42,0.4386422976501306,200.0
bird,0.25,0.42,0.31343283582089554,200.0
cat,0.25384615384615383,0.33,0.28695652173913044,200.0
deer,0.32679738562091504,0.25,0.28328611898017,200.0
dog,0.25287356321839083,0.22,0.23529411764705882,200.0
frog,0.42528735632183906,0.37,0.39572192513368987,200.0
horse,0.4076086956521739,0.375,0.390625,200.0
ship,0.48466257668711654,0.395,0.43526170798898073,200.0
truck,0.43529411764705883,0.37,0.4,200.0
accuracy,0.361,0.361,0.361,0.361
macro avg,0.37485882128796205,0.361,0.363579620734219,2000.0
weighted avg,0.3748588212879621,0.361,0.363579620734219,2000.0
