,precision,recall,f1-score,support
airplane,0.5540540540540541,0.615,0.5829383886255924,200.0
automobile,0.784,0.49,0.6030769230769231,200.0
bird,0.3,0.45,0.36,200.0
cat,0.3641025641025641,0.355,0.3594936708860759,200.0
deer,0.41785714285714287,0.585,0.4875,200.0
dog,0.478494623655914,0.445,0.46113989637305697,200.0
frog,0.6274509803921569,0.64,0.6336633663366337,200.0
horse,0.6216216216216216,0.46,0.5287356321839081,200.0
ship,0.782312925170068,0.575,0.6628242074927954,200.0
truck,0.6632124352331606,0.64,0.6513994910941476,200.0
accuracy,0.5255,0.5255,0.5255,0.5255
macro avg,0.559310634708668,0.5255,0.5330771576069134,2000.0
weighted avg,0.5593106347086682,0.5255,0.5330771576069133,2000.0
